위도	경도	물물교환품목	이름	선단레벨	내파	쇄빙	돌파	도시크기
363.4506177	643.9091126	치리모야/난두티	과라니족의 마을	1	55	0	30	town0
204.2024372	562.6212992	-	야간족의 마을	1	-	-	-	town0
371.0993579	343.5833282	-	긴 귀족의 마을	1	-	-	-	town0
303.2665642	909.1665955	-	대서양 남쪽의 섬	1	-	-	-	town0
604.6519466	1446.828863	공작 깃털/우르미/판찰로하	오리야인의 마을	1	55	0	0	town0
601.5858575	1499.243153	자황/카람볼라/버마 서적	버마족의 마을	1	65	0	0	town0
564.6784638	1550.361073	자황/카람볼라/팔레파이	크메르족의 마을	1	65	0	0	town0
493.8181692	1541.080297	자황/카람볼라/테눈	말레이족의 마을	1	65	0	0	town0
414.9418938	1651.208321	카카두플럼/목피화	야우루족의 마을	1	85	0	0	town0
349.1924719	1710.609148	카카두플럼/목피화/에뮤	나우오족의 마을	1	85	0	0	town0
269.3573041	1938.958328	카우리/카우리 수지/포우나무/코아우아우	마오리족의 마을	1	140	0	80	town0
410.8448011	1806.039107	카카두플럼/목피화/에뮤	칼 카툰 구족의 마을	1	95	0	0	town0
481.9403457	1751.267798	사고/화식조/핑크 다이아몬드	멜라네시아인의 마을	1	130	0	60	town0
622.445621	1656.751188	당과/네눈사슴	아미족의 마을	1	85	0	0	town0
663.5471551	1615.297053	산수유/은목서	장강 투자족의 마을	1	85	0	40	town0
692.0009007	1615.562218	산수유/은목서/역사서	황허 한족의 마을	1	85	0	40	town0
698.89687	1682.236499	고추장/노리개/이강고/홍삼	부안의 마을	1	85	0	0	town0
670.3606323	1713.850061	가마우지/적동	규슈의 마을	1	85	0	0	town0
726.2960558	1697.940158	고추장/노리개/홍삼	경흥의 마을	1	100	0	0	town0
693.2473181	1737.891691	가마우지/적동/수정 세공	에치젠의 마을	1	100	0	0	town0
715.8689295	1775.191574	가마우지/적동/수정 세공	에미시의 마을	1	100	0	0	town0
930.8778033	2033.020384	-	축지인의 마을	1	-	-	-	town0
878.2693197	701.3615332	-	이누이트족의 마을	1	-	-	-	town0
904.1832765	583.7651913	-	극지 설산의 만	1	-	-	-	town0
692.1435374	595.7500153	-	버뮤다 섬의 마을	1	170	0	130	town0
611.3990905	65.61362033	-	하와이 선주민의 마을	1	-	-	-	town0
902.5	1448	스트로가니나/야쿠트 말/아이더 깃털	케트인의 마을	1	200	150	100	town0
888.5	1728	스트로가니나/야쿠트 칼/야쿠트 말/아이더 깃털	야쿠트인의 마을	1	200	150	100	town0
955	230	무스/파이프/쿨릭	데네인의 마을	1	210	160	0	town0
990.5	336	무스/쿨릭	툴레인의 마을	1	210	160	0	town0
