위도	경도	도시크기	도시점수	이름	국가	권역	대유행	리셋시간	기후	여관	암시장	교역품	조선소	도구점	운하
542.7983537	1680.616042	town1	7	다바오	자유항	남아시아	남아시아		열대	알라마트 니 우르두자,에드먼드 길버트,니콜로 스테파노,주앙 세항,프란시스코 알보,진조의,페드로 데키로스, 문순득	-	-	-	-	X
468.3327183	1675.901993	town1	7	딜리	자유항	남아시아	남아시아	4:00	건기/우기	니콜로 스테파노,두아르테 바르보사,조르즈 드메네즈스,기도 데라베사리스,헨리 미들턴, 조르즈 드메네제스	-	-	-	-	X
583.6938164	1648.973014	town1	7	마닐라	자유항	남아시아	남아시아	4:15	건기2/우기2	페르난도 데마가야네스,안드레스 데우르다네타,알라마트 니 우르두자,레베카 카틀란드,담윤현,레베카 롤프,니콜로 스테파노,주앙 세항,엔히크 드말라카,야스케,진조의,페드로 데키로스,히사카지마 야스케, 김만덕, 이마이 사키, 옹은설, 마리벨, 유지, 김흥도, 시오미 후우키치, 백동수, 다나카 소스케, 문순득, 이마이 소큐, 이초, 호수인	-	-	-	-	X
486.9484158	1641.636781	town1	7	마카사르	자유항	남아시아	남아시아		열대	두아르테 바르보사,조르즈 드메네즈스,베니토 고메스,기도 데라베사리스,헨리 미들턴, 왕경홍, 조르즈 드메네제스	-	-	-	-	X
486.0642601	1700.591809	town1	7	반다	자유항	남아시아	남아시아	4:30	열대	두아르테 바르보사,조르즈 드메네즈스,프란시스쿠 세항,귀도 벤조,기도 데라베사리스,헨리 미들턴, 조르즈 드메네제스	-	-	-	-	X
493.1436508	1612.998956	town1	7	반자르마신	자유항	남아시아	남아시아	4:00	열대	페르낭 멘드스 핀투,로렌주 핀투,얀 피터손 쿤,두아르테 바르보사,조르즈 드메네즈스,비라 알라케스바라,하얌 우룩,야코프 판넥, 앤 보니, 문순득, 존 래컴	-	-	-	-	X
532.5595699	1613.087345	town1	7	브루나이	자유항	남아시아	남아시아	4:00	건기2/우기2	두아르테 바르보사,조르즈 드메네즈스,후안 세티안 엘카노,기도 데라베사리스,헨리 미들턴, 정화, 조르즈 드메네제스, 홍보, 기린아, 후안 세바스티안 엘카노	-	-	-	-	X
490.1290809	1685.300625	town1	7	암본	자유항	남아시아	남아시아	4:15	열대	페르난도 데마가야네스,제임스 쿡,담윤현,레베카 롤프,빌럼 얀손,두아르테 바르보사,조르즈 드메네즈스,프란시스쿠 세항,야스케,조반니 베세리스,기도 데라베사리스,헨리 미들턴, 이마이 사키, 앤 보니, 시오미 후우키치, 다나카 소스케, 이마이 소큐, 조르즈 드메네제스, 존 래컴	-	-	-	-	X
517.5325983	1591.608976	town1	7	쿠칭	자유항	남아시아	남아시아		열대	니콜로 스테파노,두아르테 바르보사,조르즈 드메네즈스,기도 데라베사리스,헨리 미들턴, 조르즈 드메네제스, 기린아	-	-	-	-	X
619.2557485	1651.330038	town1	7	타이난	자유항	남아시아	동아시아	4:15	북반구	조지 앤슨,정지룡,시마즈 요시히로,얀 피터손 쿤,진조의,호종헌,알탄 칸,엄영춘,장안순, 심광문, 옹은설, 안사제, 호수인	-	-	-	-	X
515.2838379	1688.89508	town1	7	테르나테	자유항	남아시아	남아시아		열대	바솔로뮤 로버츠,두아르테 바르보사,조르즈 드메네즈스,베니토 고메스,기도 데라베사리스,헨리 미들턴, 조르즈 드메네제스	-	-	-	-	X
634.9030486	1656.6628	town3	10	나하	자유항	남아시아	동아시아		북반구	마르틴 발보아,서굉조,아벌 얀손 타스만,시마즈 요시히로,얀 피터손 쿤,두순영,진조의,호종헌,알탄 칸,심청,성춘향,장안순,헨리 미들턴,히사카지마 야스케, 심광문, 옹은설, 홍길동, 안사제, 정성공, 다가와 시치자에몬, 와씨, 임꺽정, 문순득, 허초희, 이몽룡, 아카바 초우타	-	-	-	-	X
538.1739362	1651.536276	town1	7	홀로	자유항	남아시아	남아시아		건기2/우기2	야코프 발바커,알라마트 니 우르두자,니콜로 스테파노,와키자카 야스하루,장안순,페드로 데키로스,구루시마 미치후사, 	-	-	-	-	X
468.0658643	1036.412298	town2	9	루안다	자유항	남아프리카	남아프리카		남반구	프란시스쿠 드알메이다,새뮤얼 버지스,페루 다코빌량,페드로 데멘도사,주앙 곤살베스 자르쿠,알비세 카다모스토,페르낭 고메스 다미나 	-	-	-	-	X
447.442158	1035.469493	town1	7	벵겔라	자유항	남아프리카	남아프리카		남반구	후안 데라 코사,시몬 세게이라,주앙 곤살베스 자르쿠,알비세 카다모스토,자크 브룸,페르낭 고메스 다미나,디오구 캉 	-	-	-	-	X
332.4429534	1069.940948	town2	9	케이프타운	자유항	남아프리카	남아프리카	0:45	남반구	토마스 튜,마르거리트 드발루아,아폰수 드알부케르크,주앙 다노바,윌리엄 키드,로레다나 마르첼로,하파엘 세하누,로버트 로우,시몬 세게이라,후안 디아스 데솔리스,새뮤얼 버지스,페드로 데멘도사,프란시스코 데오레야나,도리테 니버스,두아르트 페레이라,프란시스코 하비에르,디오구 캉,안토니우 드살다냐 , 그레이스 오말리, 도날 나피오파, 피라리	-	-	-	-	X
400.1959609	1042.658404	town1	7	카리비브	자유항	남아프리카	남아프리카	0:30	남반구	하파엘 세하누,로버트 로우,시몬 세게이라,니콜라우 코엘류,새뮤얼 버지스,두아르트 페레이라,귀도 벤조,발보아 오리드,디오구 캉,안토니우 드살다냐 	-	-	-	-	X
385.3891158	1156.826694	town1	7	나탈	자유항	동아프리카	동아프리카	1:30	남반구	하파엘 세하누,로버트 로우,시몬 세게이라,새뮤얼 버지스,주앙 곤살베스 자르쿠,헨리 만스펠,두아르트 페레이라,마누엘 페레스트렐루,페르낭 고메스 다미나,디오구 캉,안토니우 드살다냐 	-	-	-	-	X
488.8892402	1186.613567	town1	7	몸바사	자유항	동아프리카	동아프리카	1:30	남반구	다라 쉰,주앙 다노바,이븐 바투타,알렉산드로 바조,프란시스쿠 드알메이다,페루 다코빌량,앤서니 셜리,카밀로 사보나롤라,루도비코 데바르테마,야코프 판넥,조너선 바넷 , 가스팔 신트라, 엘리자베스 비제 르 브룅	-	-	-	-	X
495.5166654	1190.149101	town1	7	말린디	자유항	동아프리카	동아프리카	1:30	남반구	다라 쉰,투르구트 레이스,알렉산드로 바조,새뮤얼 버지스,페루 다코빌량,앤서니 셜리,두아르트 페레이라,피터르 벤후크,카밀로 사보나롤라,귀친 케말,자가노스 베이 , 정화, 마환, 기린아	-	-	-	-	X
435.9409007	1194.214965	town2	9	모잠비크	자유항	동아프리카	동아프리카	1:00	우기/건기	에드워드 잉글랜드,주앙 다노바,윌리엄 키드,투르구트 레이스,담윤현,레베카 롤프,하파엘 세하누,니콜라우 코엘류,페루 다코빌량,두아르트 드메네즈스,야스케,헨리 만스펠,세페르 레이스,주앙 드카스트루,카밀로 사보나롤라,귀친 케말,페르낭 고메스 다미나,안토니우 드살다냐, 이마이 사키, 시오미 후우키치, 다나카 소스케, 이마이 소큐, 기린아	-	-	-	-	X
519.7877938	1221.143945	town1	7	모가디슈	자유항	동아프리카	동아프리카	1:30	남반구	다라 쉰,타즐루 하눔,알렉산드로 바조,하산 파샤,살리흐 레이스,니콜라스 쿠크베커,자가노스 베이,루도비코 데바르테마 	-	-	-	-	X
412.7824733	1160.951485	town2	9	소팔라	자유항	동아프리카	동아프리카	1:00	우기/건기	아폰수 드알부케르크,하파엘 세하누,로버트 로우,시몬 세게이라,안토니오 데베리오,월터 롤리,새뮤얼 버지스,헨리 만스펠,두아르트 페레이라,곤살로 데케사다,디오구 캉,이스테방 고메스,안토니우 드살다냐 	-	-	-	-	X
479.4341136	1183.78514	town1	9	잔지바르	자유항	동아프리카	동아프리카	1:30	남반구	다라 쉰,아폰수 드알부케르크,투르구트 레이스,알렉산드로 바조,로버트 로우,니콜라우 코엘류,프란시스쿠 드알메이다,페루 다코빌량,프란시스코 알보,세페르 레이스,카밀로 사보나롤라,귀친 케말,프란시스코 하비에르,야코프 판넥 	-	-	-	-	X
421.8023936	1171.322383	town1	7	켈리마느	자유항	동아프리카	동아프리카	1:00	우기/건기	하파엘 세하누,로버트 로우,시몬 세게이라,새뮤얼 버지스,페루 다코빌량,알비세 카다모스토,헨리 만스펠,두아르트 페레이라,디오구 캉,안토니우 드살다냐 	-	-	-	-	X
466.0441606	1188.823276	town1	7	킬와	자유항	동아프리카	동아프리카	1:30	우기/건기	다라 쉰,투르구트 레이스,알렉산드로 바조,시몬 세게이라,니콜라우 코엘류,페루 다코빌량,헨리 만스펠,앤서니 셜리,피터르 벤후크,카밀로 사보나롤라,자가노스 베이 	-	-	-	-	X
421.4489536	1245.038265	town1	7	타마타브	자유항	동아프리카	동아프리카	1:45	열대	토마스 튜,에드워드 잉글랜드,윌리엄 키드,에드먼드 길버트,니콜라우 코엘류,로푸 드알베르가리아,페루 다코빌량,필리베르 코메르송,앤서니 셜리,피터르 벤후크,카밀로 사보나롤라,자가노스 베이,디오구 캉 	-	-	-	-	X
693.5995675	1152.495665	town1	7	니코시아	자유항	동지중해	동지중해	1:15	북반구	카라 룸루,돈 후안 데아우스트리아,안토니오 칸,타즐루 하눔,시난 파샤,카시드,시난 레이스,조반니 라무시오,앤서니 존슨,귀친 케말,자가노스 베이,카타리나 코르네르,카산드라 페델레 , 메흐메트 슐루크, 살바도르 레이스, 호레스 디스탈디, 리오노 아반츄라	-	-	-	-	X
684.5273804	1164.192388	town2	9	베이루트	자유항	동지중해	동지중해	1:15	북반구	카라 룸루,투르구트 레이스,타즐루 하눔,시난 파샤,울루치 알리,카시드,세페르 레이스,카타리나 코르네르,카산드라 페델레 , 피에트로 콘티, 카미로 스테파노	-	-	-	-	X
669.4706912	1147.634306	town1	7	포트사이드	자유항	동지중해	동지중해	1:15	북반구	필리푸스 파라켈수스,니콜로 스테파노,두아르테 바르보사,가스파르 데케사다,알리 알 만드리,하산 파샤,트리폰 코로베이니코프,아녜스 소렐 	-	-	-	-	O
701.7291929	1138.972248	town1	7	안탈리아	자유항	동지중해	동지중해	1:15	북반구	카라 룸루,돈 후안 데아우스트리아,안토니오 칸,타즐루 하눔,시난 파샤,카시드,시난 레이스,조반니 라무시오,앤서니 존슨,귀친 케말,자가노스 베이,카타리나 코르네르,카산드라 페델레 	-	-	-	-	X
668.4074257	1130.752131	town3	7	알렉산드리아	영지	동지중해	동지중해	1:00	북반구	호레이쇼 넬슨,다라 쉰,타즐루 하눔,레오 아프리카누스,울루치 알리,쿠르톨루 무슬리딘,카시드,살림 괴브데,귀친 케말,자가노스 베이,트리폰 코로베이니코프 , 누이 호쿠, 피에트로 콘티, 앤 보니, 카탈리나 에란초, 라 이카이카, 엘리자베스 비제 르 브룅, 존 래컴, 카미로 스테파노, 나니 마히나, 안드레아 기지, 프랑코 사누드	-	-	-	-	X
662.2218412	1137.027704	town2	9	카이로	자유항	동지중해	동지중해	1:15	북반구	사피예 술탄,이븐 바투타,타즐루 하눔,로버트 로우,곤살로 피사로,카시드,살림 괴브데,세페르 레이스,트리폰 코로베이니코프,카산드라 페델레 , 알 베자스, 자한 사림	-	-	-	-	X
674.246176	1158.771238	town1	7	야파	자유항	동지중해	동지중해		북반구	카라 룸루,타즐루 하눔,울루치 알리,조반니 안드레아 도리아,카시드,카타리나 코르네르,카산드라 페델레 	-	-	-	-	X
693.6267583	1104.206161	town2	9	칸디아	자유항	동지중해	동지중해		북반구	필리푸스 파라켈수스,아흐메트 케말레딘,안토니오 칸,노라 에켈멘디트,야콥 푸거,쿠르톨루 무슬리딘,미겔 데세르반테스,시난 레이스,트리폰 코로베이니코프,카산드라 페델레 , 알 베자스, 옷토 스피노라, 카탈리나 에란초, 마슈 로이, 안드레아 기지, 자한 사림, 프랑코 사누드, 후안 바스케스	-	-	-	-	X
618.2314132	1609.345573	town2	6	마카오	영지	명	동아시아	4:00	북반구	조지 앤슨,공손포월,서굉조,정지룡,시마즈 요시히로,진조의,피터르 제라뒤스,호종헌,알탄 칸,엄영춘,장안순,조르즈 알바르스, 심광문, 마리벨, 척계광, 유지, 임상옥, 주화영, 가타쿠라 가게쓰나, 문순득, 아이 마타, 유대유, 이초, 피라리	-	-	-	-	X
716.4856296	1635.537985	town3	6	북경	본거지	명	동아시아		북반구	이븐 바투타,노국공주,베르날 로욜라,마르틴 발보아,와키자카 야스하루,도도 다카토라,시마즈 요시히로,문익점,마테오 리치,진조의,알탄 칸,시랑,고계영,엄영춘,장안순, 정화, 정성공, 임상옥, 왕경홍, 와씨, 주만, 마환, 홍보, 기린아, 유대유	-	-	-	-	X
689.2314312	1593.347277	town3	7	서안	영지	명	동아시아	3:45	북반구	시마즈 요시히로,프란시스코 알보,마테오 리치,진조의,피터르 제라뒤스,알탄 칸,시랑,고계영,율리스 하위헌스,베니토 고메스,피터르 벤후크,장안순,하바 카툰,구루시마 미치후사,히사카지마 야스케, 김만덕, 정성공, 척계광, 임상옥, 김흥도, 주화영, 다가와 시치자에몬, 백동수, 와씨, 유대유, 호수인	-	-	-	-	X
690.3556299	1643.905422	town1	4	연운	영지	명	동아시아	4:00	북반구	조지 앤슨,서굉조,정지룡,시마즈 요시히로,진조의,호종헌,알탄 칸,고계영,진린,엄영춘,장안순, 심광문, 척계광, 왕경홍, 주화영, 주만, 홍보, 유대유, 이초	-	-	-	-	X
666.1122087	1590.459928	town3	7	중경	영지	명	동아시아	4:15	북반구	구키 요시타카,조지 앤슨,베르날 로욜라,시마즈 요시히로,권근,마테오 리치,진조의,알탄 칸,시랑,진린,조반니 베세리스,장안순, 정성공, 임상옥, 다가와 시치자에몬, 와씨, 유대유, 이초	-	-	-	-	X
633.2246452	1639.338684	town2	6	천주	영지	명	동아시아	4:00	북반구	심운영,정지룡,시마즈 요시히로,마테오 리치,진조의,알탄 칸,시랑,혜희,진린,엄영춘,피터르 벤후크,장안순, 안사제, 정성공, 왕경홍, 주화영, 다가와 시치자에몬, 와씨, 주만, 아카바 초우타	-	-	-	-	X
665.4907916	1660.551887	town3	7	항주	영지	명	동아시아	4:15	북반구	이븐 바투타,담윤현,레베카 롤프,심운영,서굉조,도도 다카토라,시마즈 요시히로,권근,야스케,진조의,호종헌,알탄 칸,시랑,베니토 고메스,귀도 벤조,장안순,기도 데라베사리스, 이마이 사키, 옹은설, 정화, 모치즈키 치요매, 정성공, 임상옥, 시오미 후우키치, 왕경홍, 주화영, 다가와 시치자에몬, 와씨, 다나카 소스케, 이마이 소큐, 홍보, 아카바 초우타, 유대유, 이초	-	-	-	-	X
827.1579099	1070.559667	town1	7	그단스크	자유항	발트해	북해	0:45	북반구	마리아 마가레타 키르히,필리푸스 파라켈수스,알브레히트 발렌슈타인,구스타브 2세 아돌프,요하네스 케플러,바실리 골리친,살림 괴브데,시도니아 폰보르크,앤서니 셜리,귀친 케말,요한 할레르 	-	-	-	-	X
822.2463642	1027.985939	town2	9	뤼베크	자유항	발트해	북해	0:30	북반구	잉게보르크,마리아 마가레타 키르히,알브레히트 발렌슈타인,요하네스 케플러,가스파르 데케사다,요하네스 구텐베르크,악셀 욱센헤나,마르틴 루터,야콥 푸거,리차드 빙엄,카타리나 헤노트,암브로지우스 에힝어,게오르크 폰슈파이어,한스 슈타덴,요한 할레르,아그네스 베르나우어 	-	-	-	-	X
849.4849482	1101.613432	town1	7	리가	자유항	발트해	북해	1:00	북반구	필리푸스 파라켈수스,가스파르 데케사다,요하네스 구텐베르크,야콥 푸거,리차드 빙엄,카타리나 헤노트,암브로지우스 에힝어,게오르크 폰슈파이어,요한 할레르,아그네스 베르나우어 	-	-	-	-	X
880.2019346	990.5976677	town1	7	베르겐	자유항	발트해	북해	0:15	북반구	케빈 피셔,미겔 코르트 헤알,시도니아 폰보르크,카타리나 헤노트,이사벨라 휘트니,케나우 하셀라르,아그네스 베르나우어 , 사이이다 알 후라, 아흐메드 알 와타시, 안토니오 피가페타, 셰르 샤, 크리스티나 닐스도테르	-	-	-	-	X
853.7627345	1067.642851	town1	7	비스뷔	자유항	발트해	북해	0:45	북반구	잉엘라 가텐히엘름,크리스티나 알렉산드라,발푸리 인나마,카리나 물티알라,타네커 스코닝스,예르마크 티모페예비치,안나 오커히엘름,아그네스 베르나우어 	-	-	-	-	X
875.7657635	1129.691471	town3	10	상트페테르부르크	자유항	발트해	북해	1:15	북반구	필럼 헤인,필리푸스 파라켈수스,잉엘라 가텐히엘름,알로이지 조반니,바실리 골리친,휘호 올잭,로버트 와일드,세찬 캐벗,트리폰 코로베이니코프,예르마크 티모페예비치,세묜 스트로가노프 , 김만덕, 김흥도, 백동수, 엘리자베스 비제 르 브룅, 세바스찬 캐벗	-	-	-	-	X
868.166316	1072.857764	town2	9	스톡홀름	자유항	발트해	북해	0:45	북반구	클라스 라슨 플레밍,구스타브 2세 아돌프,잉엘라 가텐히엘름,크리스티나 알렉산드라,알로이지 조반니,악셀 욱센헤나,발푸리 인나마,카리나 물티알라,타네커 스코닝스,시도니아 폰보르크,휘호 올잭,자크 브룸,예르마크 티모페예비치,안나 오커히엘름 , 아흐메드 알 와타시, 셰르 샤, 크리스티나 닐스도테르	-	-	-	-	X
866.8416247	1025.746774	town2	9	오슬로	자유항	발트해	북해		북반구	알로이지 조반니,케빈 피셔,미겔 코르트 헤알,리차드 빙엄,카리나 물티알라,케나우 하셀라르,휘호 올잭,예르마크 티모페예비치,로버트 아마다스 , 에르네스트 로페스, 파우라, 로이드 스탓텐	-	-	-	-	X
915.9426871	1093.246016	town1	7	코콜라	자유항	발트해	북해	1:00	북반구	잉엘라 가텐히엘름,크리스티나 알렉산드라,발푸리 인나마,카리나 물티알라,타네커 스코닝스,카타리나 헤노트,예르마크 티모페예비치 	-	-	-	-	X
836.0903716	1033.348172	town3	10	코펜하겐	자유항	발트해	북해		북반구	호레이쇼 넬슨,마르거리트 드발루아,필럼 헤인,요하네스 케플러,로레다나 마르첼로,잉엘라 가텐히엘름,알로이지 조반니,케빈 피셔,가스파르 데케사다,악셀 욱센헤나,리차드 빙엄,바실리 골리친,도리테 니버스,휘호 올잭 , 그레이스 오말리	-	-	-	-	X
960.9683661	73.30339579	town1	7	배로우	자유항	북극해1	북극해		한대	레이첼 월,루이스 스콧,로드리고 데티다스,가스파르 코르트 헤알,가스파르 데케사다,곤살로 데케사다,마르코스 데니사,헨리 미들턴,구루시마 미치후사, 로드리고 데바스티다스	-	-	-	-	X
867.7897443	1777.813764	town1	7	오호츠크	자유항	북극해1	북극해		북반구	잉엘라 가텐히엘름,장 프랑수아 드갈로,바실리 골리친,로버트 와일드,트리폰 코로베이니코프,예르마크 티모페예비치,세묜 스트로가노프 	-	-	-	-	X
951.4218803	1880.373708	town1	7	체르스키	자유항	북극해1	북극해		한대	필럼 헤인,장 프랑수아 드갈로,바실리 골리친,로버트 와일드,트리폰 코로베이니코프,예르마크 티모페예비치,세묜 스트로가노프 	-	-	-	-	X
875.6779648	1909.099921	town1	7	코르프	자유항	북극해1	북극해	5:45	북반구	장 프랑수아 드갈로,바실리 골리친,휘호 올잭,로버트 와일드,트리폰 코로베이니코프,예르마크 티모페예비치,세묜 스트로가노프 	-	-	-	-	X
944.3505404	1044.985979	town1	7	나르비크	자유항	북극해2	북해	0:30	북반구	알로이지 조반니,케빈 피셔,미겔 코르트 헤알,케나우 하셀라르,디에구 소사,휘호 올잭,예르마크 티모페예비치 , 문순득	-	-	-	-	X
920.8616631	835.6234333	town1	7	레이캬비크	자유항	북극해2	북극해		한대	케빈 피셔,미겔 코르트 헤알,월터 롤리,우즈 로저스,알렉산더 셀커크,케나우 하셀라르,디에구 소사,예르마크 티모페예비치 	-	-	-	-	X
953.6642854	1142.301544	town1	7	바르도	자유항	북극해2	북극해	1:15	북반구	휴 윌로비,알로이지 조반니,케빈 피셔,미겔 코르트 헤알,장 프랑수아 드갈로,바실리 골리친,케나우 하셀라르,디에구 소사,휘호 올잭,예르마크 티모페예비치 	-	-	-	-	X
923.5900507	1189.353606	town1	7	아르한겔스크	자유항	북극해3	북극해	1:30	북반구	하코보 포르툰데,휴 윌로비,장 프랑수아 드갈로,바실리 골리친,발푸리 인나마,로버트 와일드,윌리엄 클라이브,세찬 캐벗,트리폰 코로베이니코프,예르마크 티모페예비치 , 앤 보니, 존 래컴, 세바스찬 캐벗	-	-	-	-	X
634.5222135	520.3422026	town1	7	나사우	자유항	북아메리카	카리브/북아		건기2/우기2	스티드 보닛,에드워드 로우,리차드 월리,토마스 튜,하웰 데이비스,에드워드 잉글랜드,메리 리드,후안 폰세 데레온,알론소 데카르데나스,크리스티안 글로리아,우즈 로저스,아메리고 베스푸치,안토니오 핀데아도,아즈비케,리처드 헉슬리,곤살로 데케사다,알론소 알바레스 데피네다,조너선 바넷, 김만덕, 앤 보니, 김흥도, 백동수, 존 래컴	-	-	-	-	X
852.9491623	610.4688562	town1	7	누탁	자유항	북아메리카	카리브/북아		한대	테쿠이치포츠 이시카쇼치친,로드리고 데티다스,가스파르 코르트 헤알,우즈 로저스,프랑수아 르클레르,알렉산더 해밀턴,존 롤프,안토니오 핀데아도,암브로지우스 에힝어,마르코스 데니사, 로드리고 데바스티다스	-	-	-	-	X
616.6974756	452.1653256	town1	7	메리다	자유항	북아메리카	카리브/북아	9:15	건기/우기	후안 폰세 데레온,막달레나 카밀라,테쿠이치포츠 이시카쇼치친,아폰수 안드라드,크리스티안 글로리아,페론소 아기레,트실라카트신,마리아 바르톨라,알론소 알바레스 데피네다,에르난도 데소토,마르코스 데니사,아나 마리아 데소토, 누이 호쿠, 라 이카이카, 나니 마히나	-	-	-	-	X
604.330636	418.0768844	town2	9	베라크루스	자유항	북아메리카	카리브/북아		건기/우기	티노카틀,후안 폰세 데레온,막달레나 카밀라,알론소 데카르데나스,테쿠이치포츠 이시카쇼치친,에스테반 오르테가,크리스티안 글로리아,페론소 아기레,니콜라스 데오반도,트실라카트신,마리아 바르톨라,알론소 알바레스 데피네다,후안 데그리할바, 밀란다 베르테, 카츄아파, 토니오 롯시	-	-	-	-	X
894.7291915	431.8360002	town1	7	아비앗	자유항	북아메리카	카리브/북아		북반구	아폰수 안드라드,로드리고 데티다스,찰스 베인,니콜라스 데오반도,가스파르 코르트 헤알,가스파르 데케사다,알렉산더 해밀턴,프란시스코 데보바디야,마르코스 데니사,페드로 데감보아, 로드리고 데바스티다스	-	-	-	-	X
739.4743105	558.3491921	town1	7	코하셋	자유항	북아메리카	카리브/북아		북반구	스티드 보닛,리차드 월리,마리 앙투아네트,토마스 튜,존 바이런,윌리엄 키드,루이 앙투안 드부갱빌,테쿠이치포츠 이시카쇼치친,로드리고 데티다스,가스파르 코르트 헤알,프랑수아 르클레르,페드로 데멘도사,알렉산더 해밀턴,안토니오 핀데아도,알론소 데멘도사,마르코스 데니사,이스테방 고메스, 로드리고 데바스티다스	-	-	-	-	X
588.506814	475.0873686	town1	9	트루히요	자유항	북아메리카	카리브/북아		열대	크리스토발 콜론,막달레나 카밀라,알론소 데카르데나스,테쿠이치포츠 이시카쇼치친,에스테반 오르테가,니콜라스 데오반도,케스 데코로나도,트실라카트신,마리아 바르톨라,판필로 데나르바에스,후안 데그리할바, 바스케스 데코로나도	-	-	-	-	X
556.342476	508.557086	town2	9	포르토벨로	자유항	북아메리카	카리브/북아		열대	크리스토발 콜론,나나미,코 누녜스 데발보아,레베카 카틀란드,알론소 데오헤다,월터 롤리,가스파르 코르트 헤알,프랑수아 르클레르,자크 카르티에,존 롤프,알론소 데멘도사,게오르크 폰슈파이어,마르코스 데니사,디에고 카바예로,페드로 데감보아, 유지, 바스코 누녜스 데발보아, 피라리	-	-	-	-	O
