이름	품목	명산품	도시	성수기	평수기	비수기	설명
겨자	향신료	-	디우/알제/코친	봄/건기		가을/우기	겨자씨를 가루로 만든 향신료.매운맛과 특유의 향으로 요리에 널리 사용된다.
계관석	염료	명산품	발파라이소/코피아포	여름/우기		겨울/건기	붉은 빛을 띠는 노란 색 염료.광물을 갈아서 만든다.
계피	향신료	명산품	실론/퐁디셰리	봄/건기		가을/우기	생달나무의 얇은 껍질.과자, 요리 및 향료의 원료 등으로 사용된다.
고구마	식료품	-	빌렘스타트/트루히요/포르토벨로	가을/건기		봄	중앙아메리카 원산인 메꽃과의 뿌리채소.주로 덩이뿌리를 식용하며 잎과 줄기도 먹을 수 있다.
고급 모자	직물	명산품	코르프/오호츠크				
고급 의복	직물	명산품	베네치아/안코나		4계절		
고려청자	공예품	명산품	한양		4계절		
고무	공업품	명산품	과테말라/파나마/터코마		4계절		
고블랭	직물	명산품	보르도/칼레	봄/건기	4계절	가을/우기	프랑스의 고블랭 가문에서 만든 직물.아름다운 그림들을 수놓은 예술적 기법으로 유명하다.
고산족 의복	직물	명산품	발파라이소/우수아이아/코피아포/툼베스	봄/건기		가을/우기	고산 지대 여성의 전통 복장.높은 지위일수록 화려한 의복을 입는다.
고수	향신료	-	마카오/말라카/튀니스	봄/건기		가을/우기	강렬한 향이 특징인 향신료.지중해 동부 연안 원산으로 고대부터 요리에 이용되었다.
고추	향신료	명산품	오론/아카풀코/파나마	봄/건기		가을/우기	매운맛이 나는 가짓과 초본식물.콜럼버스가 "후추보다 더 좋은 향료"라고 일기에 남겼다.
고추냉이	향신료	-	나가사키/에도	봄/건기		가을/우기	녹색을 띠고 매운맛이 나는 일본의 대표적인 향신료.특유의 톡 쏘는 맛과 향이 있어 여러 가지 요리에 쓰인다.
곡도	무기류	명산품	시라즈/제다/도하				
골풀	섬유	-	코하셋/타이난/타마타브/트루히요/나하	겨울/우기	4계절	여름	일명 등심초라고 불리는 식물의 줄기를 건조한 것.늦여름부터 가을 사이에 줄기를 베어 속살을 뽑아 햇볕에 말린다.
공단	직물	-	그단스크/마르세유/시라쿠사/칼비/코펜하겐	봄/건기		가을/우기	감이 두껍고 무늬가 없는 비단.생사로 짠 것은 매끄럽고 광택이 난다.
공작석	보석	-	무스카트/잔지바르/소다섬	여름/우기		겨울/건기	공작새 꼬리 깃털 같은 무늬가 있는 진녹색의 보석.고대부터 사용한 녹색 광물 물감이며 장식용으로도 쓰인다.
구리	공업품	명산품	스톡홀름				
구리 광석	광석	-	마닐라/브루나이/자카르타/벵겔라/터코마	봄/건기	4계절	가을/우기	구리가 포함된 광석.구리는 연성과 세공 난이도가 쉬워 매우 다양하게 사용된다.
구아노	광석	-	우수아이아/코피아포	봄/건기		가을/우기	건조한 해안지방에 퇴적된 바닷새의 배설물로 이루어진 일종의 광물질.인, 질산염 등을 정제하여 비료나 화약의 원료로 쓴다.
구와이아우드	의약품	명산품	리마/툼베스	봄/우기		가을	관절염에 사용되는 약재.나무를 쪄 오일을 추출하여 사용한다.
굴	식료품	-	몽펠리에/안코나/칼레	가을/건기		봄	바다의 우유라 불리는 영양가 높은 해산물.동서양을 막론하고 최고의 해산물 중 하나로 꼽힌다.
귤피	의약품	-	제주	봄/우기		가을	귤의 껍질을 말려 만든 약재.따뜻한 물에 우려 마신다.
금	귀금속	-	리마/리우데자네이루/마라카이보/발파라이소/모가디슈/사마라이/아르긴/빌렘스타트/카르타헤나/잔지바르/킬와/루안다/툼베스/팀북투/파나마/핀자라/하와이/터코마	겨울/건기		여름/우기	귀금속의 일종.고대부터 귀중히 여겨져 장식이나 화폐로 사용되었다.
금 광석	광석	명산품	마사와/말린디/모가디슈/모잠비크/몸바사/잔지바르/킬와/타마타브/벵겔라	봄/건기		가을/우기	금이 함유된 광석.녹여서 금을 추출할 수 있다.
금 식기	공예품	-	아체/팔렘방				
금록석	보석	-	뤼베크/상트페테르부르크/코펜하겐	여름/우기	4계절	겨울/건기	색깔과 성질에 따라 다양한 종류로 구분되는 독특한 광물.빛에 따른 색 변화, 고양이 눈 형상이 보이는 경우 매우 큰 가치를 지닌다.
금목서	향료	명산품	서안/항주	가을/우기		봄/건기	중국 원산인 꽃나무.꽃에서 청량감이 있는 달콤한 향이 난다.
금세공	공예품	-	나탈/벵겔라/팀북투				
깃털	섬유	명산품	리가/코콜라	겨울/우기	4계절	여름	오리나 거위 등의 깃털.가볍고 보온력이 크며, 어느 정도 방수 효과도 있다.
깃털 공예품	공예품	명산품	마카사르/암본				
깃펜	잡화	-	브레멘	우기	4계절		커다란 새의 깃털로 만든 필기구.새의 날개 방향에 따라 깃펜의 휨 정도가 다르다.
깨꽃	의약품	-	칸디아/니코시아/카옌/케르치/타간로크	봄/우기		가을	지중해 원산이며, 향신료, 약초 및 관상용으로 재배된 꽃.샐비어라고도 불린다.
꼭두서니	염료	-	덕원/영일/율도	여름/우기		겨울/건기	꼭두서니의 뿌리 부분을 빻아 만든 붉은색 염료.염색 시간이 길어질수록 색상이 진해진다고 한다.
꿀	조미료	-	그로닝겐/도파르/브루나이/왕거누이/호바트	여름/건기		겨울	꿀벌이 채취한 달콤하고 끈끈한 감미료.로마인들은 신이 선물한 이슬로 여겼다고 한다.
나무신발	잡화	명산품	앤트워프/덴헬데르	우기			나무를 깍고 채색을 하여 만든 신발.주로 무른 버드나무로 만들어진다고 한다.
나전 칠기	미술품	명산품	덕원				
낙타	가축	명산품	포트사이드		4계절		
낙타털	섬유	-	무스카트/수에즈/시라즈/알렉산드리아/몸바사/카이로/트리폴리	겨울/우기	4계절	여름	낙타의 털을 깎은 것.가늘고 부드러우며 보온성이 높아 의류나 융단의 재료로 사용된다.
난초	미술품	명산품	타이난				
납	공업품	-	뤼베크/바르셀로나/잔지바르/플리머스/함부르크		4계절		
납 광석	광석	-	바르셀로나/오슬로/카사블랑카/파루/플리머스/함부르크	봄/건기	4계절	가을/우기	납이 포함된 광석.동이나 아연과 함께 채취한다.
네롤리	향료	명산품	카사블랑카				
노니	의약품	명산품	마카사르/자카르타/쿠칭/테르나테	봄/우기	4계절	가을	동남아시아, 남태평양이 주산지인 과일.해열이나 강장 등 여러 가지 효능이 있다.
노새	가축	명산품	바스라/시라즈	겨울/건기		여름	말과 당나귀의 교잡종.지구력이 뛰어나다.
녹용	의약품	-	북경/왕거누이	봄/우기		가을	그늘에서 말린 사슴의 뿔.재생력과 면역력을 높여주는 효능이 있다고 한다.
놋쇠	공업품	-	과테말라/런던/바르셀로나/코콜라				
뇌록	염료	명산품	덕원/영일	여름/우기	4계절	겨울/건기	녹색 광물을 갈아서 만든 안료.단청과 그림 등에 사용된다.
누에콩	식료품	-	베이루트/수에즈/알렉산드리아/카사블랑카/카이로/튀니스	가을/건기		봄	콩의 한 종류.그늘진 바위 틈새나 고목의 밑동에서 자란다.
느억맘	조미료	명산품	프레이노코르/하노이	여름/건기		겨울	투명하고 붉은빛이 나는 어장.작은 생선들을 소금에 절여 발효 시켜 만든다.
니시진오리	직물	명산품	사카이	봄/건기		가을/우기	일본 교토의 전통 직물.화려하고 아름다운 옷감으로 복잡한 공정을 거쳐서 만든다.
니트	직물	-	더블린/브레멘/제노바/트리에스테	봄/건기		가을/우기	뜨개질로 만든 옷이나 옷감.신축성과 보온성이 높다.
다르부카	공예품	명산품	라스팔마스/벵가지/세우타/수에즈/아르긴/알제/카사블랑카/카이로/튀니스/트리폴리/포트사이드				
다마스쿠스 강철	공업품	명산품	베이루트		4계절		
다마스크	직물	-	이스탄불/트라브존	봄/건기	4계절	가을/우기	무늬가 도드라져 보이는 직물.중국산 직물이 다마스쿠스를 통해 유럽에 소개되면서 붙은 명칭이다.
다목	염료	-	마닐라/반다/수라바야/테르나테/하노이	여름/우기		겨울/건기	인도, 동남아시아 원산의 나무.나무껍질과 열매에 들어 있는 색소가 붉은색 염료가 된다.
다시마	식료품	-	나가사키/동래/제주	가을/건기		봄	다시마를 말린 것.다양한 국물 요리의 맛을 내기 위해 쓰인다.
다이아몬드	보석	명산품	나탈/카리비브/케이프타운/벵겔라/팀북투/소다섬	여름/우기		겨울/건기	보석의 대표 명사.금강석이라고도 불리며 희귀성과 특유의 광택으로 고대부터 귀한 보석으로 여겼다.
단검	무기류	-	마데이라/아조레스				
단호박	식료품	-	나사우/산토도밍고/산후안	가을/건기	4계절	봄	중남아메리카가 원산인 영양이 매우 풍부한 채소.특유의 부드러운 단맛으로 여러 요리에 사용된다.
달걀	식료품	-	칼비/트리에스테/파루/덴헬데르	가을/건기		봄	닭이나 오리가 낳은 신선한 알.다양한 요리 재료로 활용된다.
닭	가축	-	마라카이보/말라카/반자르마신/자다르/카라카스/포르토벨로/덴헬데르	겨울/건기		여름	달걀과 고기를 얻기 위해 기르는 가축.머리에 붉은 볏이 있고 날개가 퇴화해 잘 날지 못하나, 다리는 튼튼하다.
닭고기	식료품	-	베네치아/아체/파루/덴헬데르	가을/건기		봄	닭고기를 보존 가공한 것.지역과 문화에 따라 다양하게 조리해 먹는다.
담배	기호품	명산품	산토도밍고/포트로열/하바나	가을/건기		봄/우기	담뱃잎을 건조해 만든 기호품.콜럼버스가 신대륙에서 가져온 것으로 전해진다.
당귀	의약품	-	사카이/에조	봄/우기		가을	보혈 작용이 뛰어난 약재.뿌리를 말려서 사용한다.
당근	식료품	-	몽펠리에/케르치	가을/건기		봄	사람들이 즐겨 먹는 뿌리채소.특이한 향 때문에 아이들은 싫어하는 편이다.
당금	공예품	명산품	마카오/연운				
당나귀	가축	명산품	중경/천주	겨울/건기	4계절	여름	말보다는 작지만 많은 일을 할 수 있는 가축.명나라에서 나는 나귀들은 몸집이 좋고 튼튼하다고 전해진다.
대나무	공업품	명산품	중경/천주				
대리석	공업품	명산품	칸디아/테살로니키/아테네		4계절		
대리석상	미술품	-	칸디아/아테네/피사		4계절		
대모갑	잡화	명산품	페구	우기	4계절		거북의 등과 배를 싸고 있는 껍데기.주로 장식품이나 공예품을 만드는 데 사용한다.
대추야자	식료품	명산품	소코트라/도하	가을/건기		봄	생명의 나무라고도 불리는 대추야자나무의 열매.당도가 매우 뛰어나기 때문에 많이 먹기는 어렵다.
대형 방패	무기류	명산품	나폴리				
대황	의약품	-	타이난/중경	봄/우기	4계절	가을	대황류의 뿌리로 만든 약재.뿌리나 줄기를 건조해서 사용하며 변비나 지혈에 효과가 있다.
도자기	공예품	-	나폴리/칼비/피사				
돌소금	조미료	명산품	리스본	여름/건기	4계절	겨울	해수가 증발하고 남은 광물 형태의 소금.포르투갈 에스트렐라 산맥에서 주로 채굴되는 분홍색 암염이 유명하다.
동양 대포	총포류	-	한양				
동충하초	의약품	-	북경/한양	봄/우기	4계절	가을	벌레, 주로 곤충을 숙주로 삼는 여러 버섯종의 총칭.겨울에는 곤충이 되고 여름엔 약초가 되는 신비한 버섯이라고 알려졌다.
동판	공업품	-	나폴리/도버/함부르크				
동판화	미술품	-	니코시아/테살로니키/제노바		4계절		
돼지	가축	-	프레이노코르/파루/히혼	겨울/건기	4계절	여름	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 인도, 말레이
돼지고기	식료품	-	포르투/앤트워프/칼비/히혼	가을/건기		봄	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 인도, 말레이
돼지기름	조미료	-	포르투/더블린/바르셀로나	여름/건기		겨울	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 인도, 말레이
된장	조미료	명산품	덕원	여름/건기		겨울	조선의 전통 조미료.콩을 발효 시켜 만들며 짠맛이 강하다.
두리안	기호품	명산품	반자르마신/암본/테르나테/홀로	가을/건기		봄/우기	천국의 맛과 지옥의 냄새를 모두 가지고 있다는 열대 과일.독특하고 달콤한 신맛과 강렬한 냄새가 특징이다.
두반장	조미료	명산품	북경/중경	여름/건기		겨울	콩을 이용하여 만든 불그스름한 갈색 장류의 하나.매콤하면서 짭짤한 맛이 난다.
드림캐쳐	공예품	명산품	사우스사이드/산토도밍고				
등	공업품	명산품	단나하		4계절		
등세공	잡화	-	단나하/타이난	우기	4계절		등의 줄기를 엮어 만든 생활 잡화 등의 세공품.튼튼하고 실용적이며 미술적 가치가 있는 것도 있다.
디기탈리스	의약품	-	니코시아/사사리	봄/우기		가을	보라색 꽃잎이 특징인 약초.잎을 말려 약재로 사용하는데 매우 쓰고 불쾌한 맛이 난다고 한다.
디저리두	공예품	명산품	핀자라/포트피리				
딜	향신료	-	칼비/퐁디셰리	봄/건기	4계절	가을/우기	유럽에서 널리 사용되는 강한 향미가 있는 향초.이름은 스칸디나비아어의 "딜라"에서 유래됐으며, "진정시키다", "달래다"라는 뜻이다.
땅콩	기호품	명산품	사우스사이드/산티아고/포트로열	가을/건기		봄/우기	남아메리카 원산의 견과류.척박한 땅에서도 잘 자라고 땅을 기름지게 한다는 장점이 있다.
뚜론	기호품	명산품	포르투/말라가/바르셀로나/발렌시아/파루/팔마/히혼	가을/건기		봄/우기	견과류에 꿀을 넣어 굳힌 간식.달콤하고 고소하다.
라벤더	향료	-	니코시아/제노바/안탈리아/플리머스	가을/우기		봄/건기	고대 로마 때부터 사용한 유서 깊은 향료.향과 약효가 좋아 다양하게 쓰인다.
라일락	향료	명산품	낭트	가을/우기		봄/건기	발칸 반도가 원산지인 꽃.연한 보라색이나 자주색, 흰색 등을 띠고 있으며, 강한 향이 난다.
락충	염료	-	자카르타/파사이/홀로	여름/우기		겨울/건기	깍지 진딧물에서 얻는 붉은색 천연염료.열에 매우 안정적이다.
람부탄	기호품	명산품	다바오/홀로				
럼	주류	-	산후안/하바나	겨울/건기	4계절	여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
레드우드	공업품	명산품	과테말라/배로우/오론/아카풀코/어널래스카/파나마/터코마				
레몬	식료품	-	자다르/칼리아리/캘커타	가을/건기	4계절	봄	신맛이 매우 강한 노란색 과일.요리의 맛을 살리기 위해 사용하는 경우가 많다.
레몬그라스	향신료	-	롭부리/말라카	봄/건기		가을/우기	열대지방에서 재배하는 향신료.은은한 풀 냄새에 레몬 향이 섞인 듯한 냄새가 난다.
레몬기름	향료	-	무스카트/바스라/시라쿠사/알제	가을/우기		봄/건기	레몬의 신선한 껍질에서 짜낸 기름.가구 등 목제품의 손질에도 사용한다.
레몬머틀	기호품	-	아테네/가리	가을/건기		봄/우기	잎에서 레몬 향이 나는 식물.생선 및 육류 요리의 잡내 제거, 찻잎 등으로 이용한다.
레몬밤	의약품	-	세우타/카사블랑카	봄/우기		가을	레몬과 유사한 향이 나는 식물.신경 안정이나 혈압을 낮춰주는 등의 효능이 있다.
레이스	직물	-	베네치아/브레멘/앤트워프/제노바	봄/건기		가을/우기	비침무늬가 아름다운 천.수도원에서 발생한 이후 상업적으로 섬세하고 화려한 형태로 발전되었다.
로그우드	염료	명산품	포를라마르/산후안/빌렘스타트	여름/우기		겨울/건기	빨간 잉크를 만드는 데 사용하는 나무.말린 통나무를 가루로 만들어 발효시키면 붉은색 염료를 얻을 수 있다.
로즈메리	향신료	-	발렌시아/아조레스/아테네	봄/건기		가을/우기	지중해 지역에서 자라던 향초.코를 찌르는 향기가 나며 고기의 비린내를 없애는 데 주로 쓰인다.
로쿰	기호품	명산품	이스탄불	가을/건기		봄/우기	튀르키예 과자의 일종.설탕과 전분을 주원료로 하여 달콤하고 쫀득한 맛이 특징이다.
루벨라이트	보석	-	소팔라/말린디/베냉/시에라리온/아르긴/아비장/킬와/소다섬	여름/우기		겨울/건기	전기석 중 적색 계열의 보석.유난히 짙은 붉은색의 아름다운 색조 때문에 전기석 중 사람들이 가장 선호하는 보석이다.
루비	보석	명산품	고아/실론/캘커타/말레	여름/우기		겨울/건기	매우 단단하고 진한 붉은 보석.최고의 가치를 지닌 보석 중 하나로 손꼽힌다.
루이보스차	기호품	명산품	나탈/소팔라	가을/건기		봄/우기	루이보스 잎을 잘게 자른 후 발효 시켜 만든 차.식물성 음료의 하나로 남아프리카에서 많이 마신다.
리치	식료품	명산품	천주	가을/건기		봄	달콤하고 말랑한 과육을 섭취하는 열매.덜 익은 열매를 섭취하면 위험할 수 있다.
리큐르	주류	명산품	나폴리/시라쿠사	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
링곤베리	의약품	명산품	나르비크/그단스크/오슬로/코콜라	봄/우기		가을	추운 지역에서 자라는 붉은 색 열매.호흡기 질환에 약효가 있고 소화를 돕는다.
마노	보석	-	나사우/코하셋/하바나/소다섬	여름/우기		겨울/건기	알록달록한 무늬가 아름다운 보석.종류가 무늬의 색상과 모양에 따라 다양하다.
마누카	의약품	-	가리/호바트	봄/우기		가을	잎이 여러 가지 효능을 가지고 있는 오세아니아 원산인 나무.초기 이주자가 나무의 잎을 차 대신 사용해서 티트리라고도 불린다.
마늘	향신료	-	말라가/부에노스아이레스/알렉산드리아/프레이노코르/안탈리아	봄/건기		가을/우기	향이 강한 뿌리채소.식자재로써 저장성이 좋아 동서양을 가리지 않고 많이 쓰였다.
마닐라삼	섬유	명산품	다바오/마닐라/홀로	겨울/우기		여름	동남아시아에서 수확되는 삼의 일종.바닷물에 강해서 선박용 밧줄에도 사용된다.
마데이라 와인	주류	명산품	마데이라/아조레스	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
마떼	기호품	-	포를라마르/카르타헤나	가을/건기		봄/우기	남아메리카에서 옛날부터 많이 마시던 음료.마떼 나뭇잎을 말려서 우려낸다.
마살라	향신료	-	고아/마실리파트남/캘커타	봄/건기		가을/우기	인도 요리에 사용되는 혼합 향신료.향신료의 배합 비율은 지역과 취향에 따라 다양하다.
마상총	총포류	명산품	에도				
마직물	직물	명산품	단나하/타이난	봄/건기	4계절	가을/우기	삼, 아마, 모시풀 같은 식물로 실을 자아 만든 직물.가장 오래된 마직물은 고대 이집트의 고분에서 발굴된 미라가 입은 옷의 아마포이다.
마카	의약품	-	리마	봄/우기		가을	안데스산맥이 원산지인 약용 식물.비늘 형태의 열매로 약을 만든다.
마카다미아	기호품	-	카카투와/가리/하와이	가을/건기		봄/우기	지방분이 많으며 담백한 견과류.호주 원주민들은 킨달 킨달이라고 부른다.
마황	의약품	-	덕원/북경	봄/우기		가을	역사가 긴 약초의 하나.주로 감기약으로 사용된다.
막걸리	주류	명산품	동래	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
말	가축	-	시라즈/도하	겨울/건기		여름	오래전부터 사육되어온 가축.작업이나 식용으로 이용된다.
말린 망고	기호품	-	롭부리/코친	가을/건기		봄/우기	망고 열매를 말린 것.쫄깃쫄깃하고 달콤한 맛이 일품이다.
맘벨레	무기류	명산품	소팔라/켈리마느				
망고	기호품	명산품	반다/브루나이/암본/쿠칭	가을/건기	4계절	봄/우기	독특한 향과 맛을 가진 열대 과일.열대와 아열대 기후에 속하는 지역에서는 흔한 과일이다.
망고스틴	염료	명산품	말라카/아체	여름/우기		겨울/건기	동남아시아의 먹음직스러운 열대 과일."과일의 여왕"이라는 별명을 가지고 있다.껍질로 노란색 염료를 만들 수 있다.
맥반석	광석	명산품	제주	봄/건기		가을/우기	표면에 석영과 장석이 섞여, 보리밥 알갱이가 붙은 것처럼 보이는 돌.피부병에 효과가 있다고 한다.
맥아식초	조미료	-	오데사/코펜하겐	여름/건기		겨울	맥아를 원료로 한 발효 식초.향기가 부드럽고 곡류의 단백질에서 감칠맛 성분이 나온다.
맥주	주류	-	런던/브레멘/에든버러/함부르크	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
메귀리	식료품	-	벵가지/오슬로/코콜라/튀니스/트리폴리	가을/건기		봄	귀리의 원종.녹말을 포함한 식용식물로, 온대 지방에서 널리 심는다.
메이스	향신료	명산품	마카사르/반다/반자르마신/자카르타/테르나테	봄/건기		가을/우기	육두구나무의 씨껍질을 건조한 향신료.건조 시간에 따라 빨간색에서 노란색, 갈색 순으로 색이 점차 변한다.
메이플시럽	조미료	명산품	오론/터코마	여름/건기		겨울	사탕단풍의 수액으로 만든 감미료.설탕이 비싸 대체재로 사용된다.
면직물	직물	명산품	마실리파트남/캘커타	봄/건기		가을/우기	목화를 이용해 만든 직물흡습성이 좋고 부드러워 광범위하게 사용된다.
명주	직물	명산품	영일	봄/건기		가을/우기	명주실로 짠 직물.우아한 광택과 풍부한 촉감 등이 특징이다.
모슬린	직물	명산품	바스라/호르무즈	봄/건기		가을/우기	면사를 촘촘히 짜서 표백하지 않은 직물.직물을 처음 만든 이라크의 도시 모술에서 이름이 비롯되었다.
모시	직물	명산품	사카이/나하	봄/건기		가을/우기	아마나 모시풀로 짠 의류용 옷감.흡수성과 통기성이 높아 더운 곳에서 옷감으로 많이 사용한다.
모시풀	섬유	-	말라카/베냉/아비장	겨울/우기		여름	줄기의 껍질에서 질긴 섬유를 얻을 수 있는 풀.중국에서는 고대부터 재배했다.
모차렐라	식료품	-	시라쿠사/트리에스테	가을/건기		봄	이탈리아 남부 지역에서 유래한 치즈 종류.가열하면 실처럼 길게 늘어난다.
모피	섬유	-	켈리마느/타마타브	겨울/우기		여름	털이 붙어 있는 짐승의 가죽.방한 및 방수 효과가 있다.
모헤어	섬유	명산품	바르나/오데사/케르치/타간로크	겨울/우기		여름	앙고라염소의 털.따뜻하고 잘 구겨지지 않는다.
목각화	미술품	명산품	브레멘				
목상	미술품	-	마데이라/케이프타운/산토도밍고/엘미나/루안다		4계절		
목재	공업품	명산품	그단스크/오슬로		4계절		
목판화	미술품	-	세비야		4계절		
목화	섬유	-	디우/코친	겨울/우기	4계절	여름	고온 다습한 기후에서 자라는 식물.씨앗을 맺을 때 생기는 섬유를 이용해 솜과 면직물을 만들 수 있다.
몰약	의약품	명산품	벵가지/알렉산드리아	봄/우기		가을	성경에도 언급되는 유서 깊은 향료.고대 이집트에서 미라를 만들 때 방부제로 쓰기도 했다.
무명	직물	-	세비야/벵가지/동래/브레멘/수에즈/코펜하겐	봄/건기		가을/우기	목화에서 뽑은 무명실로 짠 옷감의 종류.면직물이라고도 불리는 보편적인 옷감으로 가정에서 베틀로 짜 만든다.
무이라푸아마	의약품	명산품	리우데자네이루/마라카이보/포를라마르/바이아/부에노스아이레스/빌렘스타트/카라카스/카르타헤나/카옌/페르남부쿠	봄/우기		가을	짠맛이 나는 관목.다양한 질병의 치료제로 사용된다.
무카이트	보석	명산품	카카투와/가리				
무화과	기호품	-	테살로니키/야파/케르치	가을/건기	4계절	봄/우기	무화과나무의 열매.인류가 재배한 최초의 과일 중 하나로 지중해 지역과 중동에서 많이 먹는다.
문어	식료품	-	라구사/제노바	가을/건기		봄	아래 문화권에서 팔 수 없음북유럽, 독일
물소	가축	명산품	고아/디우/마실리파트남/실론/캘커타/코친/퐁디셰리	겨울/건기		여름	남아시아에서 서식하는 물소.힘이 강한 편이다.
미주	주류	명산품	단나하/타이난	겨울/건기		여름/우기	아래 문화권에서 팔 수 없음근동, 북아프리카, 아랍, 페르시아, 말레이
민들레	의약품	-	자다르/함부르크	봄/우기		가을	솜털 모양의 씨앗을 가진 식물.개화 전 채집해 말린 것과 건조된 뿌리를 약재로 사용한다.
밀	식료품	-	리스본/누탁/런던/반자르마신/벵가지/비사우/세우타/암스테르담/어널래스카/이스탄불/제노바/제다				
밀가루	식료품	-	포르투/뤼베크/브레멘/카이로	가을/건기	4계절	봄	밀을 빻아 만든 가루.많은 나라에서 주식으로 삼고 있는 빵의 주재료이다.
밀랍	공업품	-	무스카트/아덴/몸바사/잔지바르				
바나나	기호품	명산품	다바오/마닐라/팡칼피낭/수라바야/자카르타/팔렘방	가을/건기	4계절	봄/우기	열대 아시아 원산의 다년생 식물.열매가 달고 영양가도 높다.
바닐라	향신료	-	나사우/포를라마르/산티아고/아카풀코/포르토벨로/호바트/아투오나	봄/건기		가을/우기	중남아메리카가 원산인 향신료.달콤하고 부드러운 향이 매력적인 향료이다.
바질	향신료	-	베라크루스/세우타/호르무즈	봄/건기		가을/우기	인도가 원산인 향신료.힌두교에서는 바질을 신에게 바치는 신성한 향초로 여겼다.
박격포	총포류	명산품	바르나				
박하	향신료	-	바스라/세우타/산타섬	봄/건기	4계절	가을/우기	상쾌한 향이 특징인 향신료.이름은 그리스 신화에 등장하는 님프 멘테에서 유래했다.
발라폰	공예품	명산품	카리비브/타마타브				
밤	식료품	명산품	영일	가을/건기	4계절	봄	밤나무의 열매.고소하고 담백한 맛이 일품이다.
백금	귀금속	명산품	나탈/소팔라/켈리마느/모잠비크	겨울/건기		여름/우기	은보다 단단한 은백색의 귀금속.광택이 나지만, 은과 다르게 변색하지 않는다.
백단향	의약품	-	베냉/엘미나/아르긴	봄/우기		가을	백단나무를 말린 약재.맑은 향기가 나는데, 불에 태우면 더욱 진한 향기가 난다.
버섯	식료품	-	몽펠리에/안코나/타간로크	가을/건기		봄	아래 문화권에서 팔 수 없음인도
버터	조미료	-	낭트/런던/이스탄불	여름/건기		겨울	오랜 역사를 자랑하는 유제품.인류가 가축을 키우기 시작하면서부터 만들어졌다.
벌꿀주	주류	명산품	더블린				벌꿀에 여러 재료를 첨가하여 발효시킨 술.마시면 아름다운 시를 쓸 수 있다고 한다.
베르가모트	향신료	-	안코나/자다르	봄/건기	4계절	가을/우기	달콤한 향기가 나는 열매의 껍질을 말린 향신료.향이 신선하고 달콤해 차, 향수 등에 널리 사용된다.
